admin2,admin2_name,admin2_upper
bale,Balé,BALE
banwa,Banwa,BANWA
kossi,Kossi,KOSSI
mouhoun,Mouhoun,MOUHOUN
nayala,Nayala,NAYALA
sourou,Sourou,SOUROU
comoe,Comoé,COMOE
leraba,Léraba,LERABA
kadiogo,Kadiogo,KADIOGO
boulgou,Boulgou,BOULGOU
koulpelogo,Koulpélogo,KOULPELOGO
kouritenga,Kouritenga,KOURITENGA
bam,Bam,BAM
namentenga,Namentenga,NAMENTENGA
sanmatenga,Sanmatenga,SANMATENGA
boulkiemde,Boulkiemdé,BOULKIEMDE
sanguie,Sanguié,SANGUIE
sissili,Sissili,SISSILI
ziro,Ziro,ZIRO
bazega,Bazèga,BAZEGA
nahouri,Nahouri,NAHOURI
zoundweogo,Zoundwéogo,ZOUNDWEOGO
gnagna,Gnagna,GNAGNA
gourma,Gourma,GOURMA
komondjari,Komondjari,KOMONDJARI
kompienga,Kompienga,KOMPIENGA
tapoa,Tapoa,TAPOA
houet,Houet,HOUET
kenedougou,Kénédougou,KENEDOUGOU
tuy,Tuy,TUY
loroum,Loroum,LOROUM
passore,Passoré,PASSORE
yatenga,Yatenga,YATENGA
zondoma,Zondoma,ZONDOMA
ganzourgou,Ganzourgou,GANZOURGOU
kourweogo,Kourwéogo,KOURWEOGO
oubritenga,Oubritenga,OUBRITENGA
oudalan,Oudalan,OUDALAN
seno,Séno,SENO
soum,Soum,SOUM
yagha,Yagha,YAGHA
bougouriba,Bougouriba,BOUGOURIBA
ioba,Ioba,IOBA
noumbiel,Noumbiel,NOUMBIEL
poni,Poni,PONI
